,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,g,hilb1,hilb2,hilb3,hilb4,hilb5,hilb6,e
f104,1,1,1,2,3,5,0,0,0,0,0,0,0,0,1,3,7,14,25,42,65,-88
f105,1,1,1,3,4,5,0,0,0,0,0,0,0,0,1,3,6,11,19,31,47,-116
f106,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0,2,6,11,21,34,54,-58
f107,1,1,2,2,3,3,0,0,0,0,0,0,0,0,0,2,5,10,18,29,46,-58
f108,1,1,2,2,3,4,0,0,0,0,0,0,0,0,0,2,5,9,17,27,42,-64
f109,1,1,2,2,3,5,0,0,0,0,0,0,0,0,0,2,5,9,16,26,40,-74
f110,1,1,2,3,3,3,0,0,0,0,0,0,0,0,0,2,4,9,15,24,38,-60
f111,1,1,2,3,3,4,0,0,0,0,0,0,0,0,0,2,4,8,14,22,34,-68
f112,1,1,2,3,3,5,0,0,0,0,0,0,0,0,0,2,4,8,13,21,32,-80
f113,1,1,2,3,4,4,0,0,0,0,0,0,0,0,0,2,4,7,13,20,30,-78
f114,1,1,2,3,4,5,0,0,0,0,0,0,0,0,0,2,4,7,12,19,29,-82
f115,1,1,2,3,4,5,0,0,0,0,0,0,0,0,0,2,4,7,12,19,28,-92
f116,1,1,2,3,4,7,0,0,0,0,0,0,0,0,0,2,4,7,12,18,27,-98
f117,1,1,2,3,5,5,0,0,0,0,0,0,0,0,0,2,4,7,11,18,26,-108
f118,1,1,2,3,5,7,0,0,0,0,0,0,0,0,0,2,4,7,11,17,25,-112
f119,1,1,2,3,5,8,0,0,0,0,0,0,0,0,0,2,4,7,11,17,25,-116
f120,1,1,2,4,5,6,0,0,0,0,0,0,0,0,0,2,4,6,10,15,23,-106
f121,1,1,2,5,7,9,0,0,0,0,0,0,0,0,0,2,4,6,9,13,18,-172
f122,1,1,3,4,4,5,0,0,0,0,0,0,0,0,0,2,3,5,9,14,20,-82
f123,1,1,3,4,5,5,0,0,0,0,0,0,0,0,0,2,3,5,8,13,19,-90
f124,1,1,3,4,5,6,0,0,0,0,0,0,0,0,0,2,3,5,8,12,18,-94
f125,1,1,3,4,5,7,0,0,0,0,0,0,0,0,0,2,3,5,8,12,17,-114
f126,1,1,3,4,5,9,0,0,0,0,0,0,0,0,0,2,3,5,8,12,17,-118
f127,1,1,3,4,7,11,0,0,0,0,0,0,0,0,0,2,3,5,8,11,15,-150
f128,1,1,3,5,6,7,0,0,0,0,0,0,0,0,0,2,3,5,7,10,15,-114
f129,1,1,4,5,6,6,0,0,0,0,0,0,0,0,0,2,3,4,6,9,14,-104
f130,1,1,4,5,6,7,0,0,0,0,0,0,0,0,0,2,3,4,6,9,13,-108
f131,1,1,4,5,6,11,0,0,0,0,0,0,0,0,0,2,3,4,6,9,13,-140
f132,1,1,4,6,7,8,0,0,0,0,0,0,0,0,0,2,3,4,6,8,11,-126
f133,1,1,5,7,8,9,0,0,0,0,0,0,0,0,0,2,3,4,5,7,9,-140
f134,1,1,6,8,9,10,0,0,0,0,0,0,0,0,0,2,3,4,5,6,8,-154
f135,1,2,2,2,3,3,0,0,0,0,0,0,0,0,-1,1,4,6,12,18,29,-44
f136,1,2,2,3,3,4,0,0,0,0,0,0,0,0,-1,1,3,5,9,13,21,-52
f137,1,2,2,3,4,5,0,0,0,0,0,0,0,0,-1,1,3,4,8,11,17,-68
f138,1,2,2,3,5,7,0,0,0,0,0,0,0,0,-1,1,3,4,7,10,15,-74
f139,1,2,3,3,4,5,0,0,0,0,0,0,0,0,-1,1,2,4,6,9,14,-54
f140,1,2,3,4,4,5,0,0,0,0,0,0,0,0,-1,1,2,3,6,8,12,-56
f141,1,2,3,4,5,5,0,0,0,0,0,0,0,0,-1,1,2,3,5,8,11,-58
f142,1,2,3,4,5,6,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,11,-68
f143,1,2,3,4,5,7,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-66
f144,1,2,3,4,5,7,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-70
f145,1,2,3,4,5,8,0,0,0,0,0,0,0,0,-1,1,2,3,5,7,10,-72
f146,1,2,3,4,7,10,0,0,0,0,0,0,0,0,-1,1,2,3,5,6,9,-90
f147,1,2,3,5,5,7,0,0,0,0,0,0,0,0,-1,1,2,3,4,7,9,-70
f148,1,2,3,5,7,7,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-82
f149,1,2,3,5,7,8,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-90
f150,1,2,3,5,7,9,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-86
f151,1,2,3,5,7,12,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-98
f152,1,2,3,5,8,13,0,0,0,0,0,0,0,0,-1,1,2,3,4,6,8,-108
f153,1,2,3,7,9,11,0,0,0,0,0,0,0,0,-1,1,2,3,4,5,7,-114
f154,1,2,4,5,5,6,0,0,0,0,0,0,0,0,-1,1,2,2,4,6,9,-62
f155,1,2,4,5,6,7,0,0,0,0,0,0,0,0,-1,1,2,2,4,5,8,-72
f156,1,2,5,6,7,8,0,0,0,0,0,0,0,0,-1,1,2,2,3,4,6,-78
